Solar Disk 	 Lin 	 Col 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity	 Class Name 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity 	 SUN 	 Distance (L2) 
ifa120707	100	350	0.601655930836	0.353786433658	0.777248428644	0.53781536358	0.520351825707	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00583023584726	0.0763559810837
ifa120707	100	350	0.601655930836	0.353786433658	0.777248428644	0.53781536358	0.520351825707	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00548558643171	0.0740647448636
ifa120707	150	100	0.612284463018	0.396233564638	0.790817362632	0.561917623678	0.541680431573	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00191236927549	0.0437306445812
ifa120707	150	100	0.612284463018	0.396233564638	0.790817362632	0.561917623678	0.541680431573	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00200621900734	0.0447908361983
ifa120707	150	100	0.612284463018	0.396233564638	0.790817362632	0.561917623678	0.541680431573	G	0.638324481858	0.449468906616	0.797965756297	0.586426546754	0.474919252283	0.0086209261192	0.0928489424775
ifa120707	150	100	0.612284463018	0.396233564638	0.790817362632	0.561917623678	0.541680431573	H	0.612360182322	0.440567349227	0.803744392646	0.593383996104	0.509414154576	0.00416384351924	0.0645278507254
ifa120707	150	300	0.579611265725	0.353918843867	0.77738494077	0.538288247886	0.544061621187	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.0066189518325	0.0813569408994
ifa120707	150	300	0.579611265725	0.353918843867	0.77738494077	0.538288247886	0.544061621187	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00728032034908	0.0853247932847
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.0050233096361	0.0708753104833
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00397602888351	0.0630557601136
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	G	0.638324481858	0.449468906616	0.797965756297	0.586426546754	0.474919252283	0.00786152305766	0.0886652302634
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	H	0.612360182322	0.440567349227	0.803744392646	0.593383996104	0.509414154576	0.00486625328635	0.0697585355806
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	T	0.651763659538	0.463807910707	0.813100379157	0.610594662488	0.502129668755	0.00736529063252	0.0858212714455
ifa120707	150	400	0.484259465683	0.390840691532	0.801686650496	0.591311509486	0.666495623479	A	0.513662897756	0.445145644969	0.793197957735	0.571660621076	0.668563752311	0.00427608226241	0.0653917598969
ifa120707	150	400	0.484259465683	0.390840691532	0.801686650496	0.591311509486	0.666495623479	B	0.513042022281	0.425463403374	0.796687019204	0.579251686557	0.67911145124	0.00235676249182	0.0485464982447
ifa120707	150	400	0.484259465683	0.390840691532	0.801686650496	0.591311509486	0.666495623479	F	0.513662897756	0.445145644969	0.793197957735	0.571660621076	0.668563752311	0.00427608226241	0.0653917598969
ifa120707	250	50	0.63977087476	0.829607437109	0.910057906759	0.810567499645	0.78666343346	V	0.639616933165	0.830003447912	0.906721568792	0.79657013994	0.841357355387	0.00319866284802	0.0565567223946
ifa120707	250	100	0.64216922506	0.368767924232	0.791894990427	0.56415123579	0.511782985417	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00501644074304	0.0708268363196
ifa120707	250	100	0.64216922506	0.368767924232	0.791894990427	0.56415123579	0.511782985417	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00351464469542	0.0592844388977
ifa120707	250	100	0.64216922506	0.368767924232	0.791894990427	0.56415123579	0.511782985417	G	0.638324481858	0.449468906616	0.797965756297	0.586426546754	0.474919252283	0.00841940910531	0.0917573381551
ifa120707	250	100	0.64216922506	0.368767924232	0.791894990427	0.56415123579	0.511782985417	H	0.612360182322	0.440567349227	0.803744392646	0.593383996104	0.509414154576	0.00704431042659	0.0839303903636
ifa120707	300	100	0.613522376678	0.382192984921	0.808311296166	0.594223573694	0.574743950388	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00571177146794	0.0755762625958
ifa120707	300	100	0.613522376678	0.382192984921	0.808311296166	0.594223573694	0.574743950388	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00612925001187	0.0782895268339
ifa120707	300	100	0.613522376678	0.382192984921	0.808311296166	0.594223573694	0.574743950388	H	0.612360182322	0.440567349227	0.803744392646	0.593383996104	0.509414154576	0.00769846082296	0.0877408731605
ifa120707	300	350	0.613555006147	0.339778379546	0.769568465415	0.525076577147	0.496591254304	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00992926277832	0.0996456862002
ifa120707	300	350	0.613555006147	0.339778379546	0.769568465415	0.525076577147	0.496591254304	D	0.602799793381	0.409259867883	0.797043690792	0.579781414905	0.504415256495	0.00875207411702	0.0935525206343
ifa120708	100	100	0.606244349059	0.338413421087	0.779648878221	0.542154856405	0.521598418491	C	0.589852587799	0.414083222095	0.796217688669	0.57843257231	0.513597288432	0.00764922485489	0.0874598471008
