Pattern Base 	 Pattern Reference 	 Contrast 	 Correlation 	Energy 	Entropy 	Homogeneity 	SUM 	 SQRT(SUM):L2
pat120701_0	pat120701_0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120701_0	pat120701_1	0.000913454651158	0.00505047629308	5.84312570094e-05	0.000167327368347	0.000769081085769	0.00695877065537	0.0834192463126
pat120701_0	pat120701_2	0.00241511963864	0.000395957814001	3.25346024876e-06	9.65561262924e-06	0.0123363223093	0.0151603088348	0.123127205908
pat120701_0	pat120701_3	0.000540537184754	0.000872930494229	1.19421343068e-05	3.36984122854e-05	0.00859420480495	0.0100533130305	0.100266210812
pat120701_0	pat120703_0	0.00238116715946	0.0089970085008	0.00130864845051	0.00461708177475	0.013171991458	0.0304758973435	0.174573472623
pat120701_0	pat120703_1	0.00380548035385	0.010561451547	6.90551895759e-05	0.000114252265231	0.005861436709	0.0204116760646	0.142869437126
pat120701_0	pat120703_2	0.00661114096475	0.0135007615176	0.000283204531415	0.00114791768408	0.0230536265976	0.0445966512954	0.211179192383
pat120701_0	pat120703_3	0.00471736821225	0.00254653085305	3.35573076545e-05	4.25375309465e-05	0.0261673882685	0.0335073821724	0.183050217624
pat120701_0	pat120704_0	0.00950845867519	0.0552783270444	0.00751551936162	0.0283275611204	0.0392236593036	0.139853525505	0.373969952677
pat120701_0	pat120704_1	0.0132595873398	0.0689885914839	0.00314924524447	0.0121568443951	0.00231585212271	0.0998701205859	0.316022341909
pat120701_0	pat120704_2	0.000428844325269	0.0538664135309	0.000847084313733	0.00357786534432	0.0142957750442	0.0730159825584	0.270214697155
pat120701_0	pat120704_3	0.00140653987411	0.060907318104	0.00415257140439	0.0157202935114	0.0262428659977	0.108429588892	0.329286484526
pat120701_0	pat120705_0	0.0282557158129	0.142518216846	0.0120398508755	0.0509904934814	0.00486602968644	0.238670306702	0.488538951059
pat120701_0	pat120705_1	0.00253065058086	0.278432240953	0.0152885050747	0.0642725882625	0.123648487773	0.484172472644	0.695825030193
pat120701_0	pat120705_2	0.0315003938907	0.240425439496	0.0206703204552	0.0870458541446	0.0217850734349	0.401427081422	0.633582734473
pat120701_0	pat120705_3	0.0141394204499	0.136279737898	0.0209745788342	0.0884200000335	0.129002053711	0.388815790926	0.623550952951
pat120701_0	pat120706_0	0.00378778036534	0.0182910943127	0.0275638172342	0.0438230455751	0.16627794311	0.259743680597	0.509650547529
pat120701_0	pat120706_1	0.0588080793343	0.0015591094654	0.0291086026438	0.0455617260118	0.0355308207681	0.170568338224	0.412999198817
pat120701_0	pat120706_2	0.0162267999638	0.0012218227862	1.66263741953e-05	8.11224095585e-05	0.0108361329333	0.0283825044671	0.168471079023
pat120701_0	pat120706_3	0.0144464158309	0.0100634535842	1.63183096227e-09	0.000103691768695	0.0289207458944	0.05353430871	0.231374822982
pat120701_0	pat120706_4	0.0571000460405	0.0667389469767	0.00664239029299	0.0269832655388	0.0078585523058	0.165323201155	0.406599558724
pat120701_0	pat120706_5	0.00916435220064	0.207867155233	0.0112104848209	0.0449329812631	0.0402106423054	0.313385615823	0.559808552832
pat120701_0	pat120706_6	0.208039698153	0.304309498191	0.0325258360679	0.138959196021	0.00481198496987	0.688646213402	0.829847102424
pat120701_0	pat120706_7	0.0301508584572	0.0105125989628	0.000662513993261	0.00256408008947	0.0105078363868	0.0543978878896	0.233233547951
pat120701_0	pat120706_8	0.0237824045827	0.00730302814968	0.00244660062489	0.0087219318017	0.000932731238144	0.0431866963971	0.207814090949
pat120701_1	pat120701_0	0.000913454651158	0.00505047629308	5.84312570094e-05	0.000167327368347	0.000769081085769	0.00695877065537	0.0834192463126
pat120701_1	pat120701_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120701_1	pat120701_2	0.00629916498326	0.00261816569502	3.4109092372e-05	9.65927265664e-05	0.0192658034327	0.0283138359299	0.168267156421
pat120701_1	pat120701_3	0.00285934759946	0.00172401884781	1.75418129215e-05	5.08436692453e-05	0.014505130059	0.0191568819884	0.138408388432
pat120701_1	pat120703_0	0.00624425786749	0.000565767078107	0.00192012933982	0.00654232170385	0.00757543683559	0.0228479128249	0.151155260659
pat120701_1	pat120703_1	0.00099005649848	0.00100503074881	4.43437648285e-07	5.0473145354e-06	0.00238414517413	0.0043847231736	0.0662172422682
pat120701_1	pat120703_2	0.0124394618252	0.00203636257854	0.000598913822942	0.00219177923923	0.0322441346823	0.0495106521482	0.222509892248
pat120701_1	pat120703_3	0.00978249815645	0.000424505852184	3.42681969232e-06	4.1132055908e-05	0.0359086136645	0.0461601765488	0.214849194899
pat120701_1	pat120704_0	0.0163161633388	0.0269113300483	0.00889930527815	0.0328491857933	0.0290079919653	0.113983976424	0.33761513062
pat120701_1	pat120704_1	0.0211335108625	0.0367067629575	0.00406561439729	0.0151766603471	0.00575407394289	0.0828366225073	0.287813520369
pat120701_1	pat120704_2	9.05324749745e-05	0.0259289499349	0.0013504704055	0.00529267426973	0.00843323183636	0.0410958589215	0.202721135853
pat120701_1	pat120704_3	0.00458698406212	0.0308801111121	0.00519617263045	0.0191313442606	0.0180268723759	0.0778214844412	0.278965023688
pat120701_1	pat120705_0	0.0393299411102	0.0939110794943	0.0137757845866	0.0569997743193	0.00176606882639	0.205782648337	0.453632724059
pat120701_1	pat120705_1	0.00648491732325	0.208483639061	0.0172372554258	0.0709987457249	0.104914162671	0.408118720205	0.638841701993
pat120701_1	pat120705_2	0.0431421627268	0.175783362889	0.0229267442572	0.0948460456411	0.0143677052462	0.351066020761	0.59250824531
pat120701_1	pat120705_3	0.0222405644028	0.0888601242165	0.0232471203022	0.0962802035649	0.109849986282	0.340477998768	0.583504926088
pat120701_1	pat120706_0	0.000981038466697	0.0425643423311	0.0250840692312	0.0385745461777	0.189663940079	0.296867936286	0.544855885796
pat120701_1	pat120706_1	0.0450629510262	0.0122218029294	0.0265586993807	0.04020683509	0.0467547729128	0.170805061339	0.413285689734
pat120701_1	pat120706_2	0.00944026866684	0.00130408530931	1.27198435077e-05	0.000481464792919	0.00583152719629	0.0170700658089	0.130652461932
pat120701_1	pat120706_3	0.0226251704024	0.000855566190858	5.90504645341e-05	0.00053446150854	0.0391221964924	0.0631964450587	0.251389031302
pat120701_1	pat120706_4	0.0724576417374	0.0350708465255	0.00794681226323	0.0314003170451	0.013544487646	0.160420105217	0.400524787269
pat120701_1	pat120706_5	0.015864419036	0.148115528486	0.0128876102674	0.0505842916754	0.029857629264	0.257309478729	0.507256817331
pat120701_1	pat120706_6	0.236523777019	0.230953140435	0.0353414582771	0.14877052185	0.00173356992162	0.653322467503	0.808283655348
pat120701_1	pat120706_7	0.0415603012742	0.00098999983026	0.00111445014433	0.00404143153943	0.0169624704685	0.0646686532568	0.254300320992
pat120701_1	pat120706_8	0.0340176934057	0.000207102417855	0.00326122749128	0.0113053865634	7.88676077577e-06	0.0487992966391	0.220905628355
pat120701_2	pat120701_0	0.00241511963864	0.000395957814001	3.25346024876e-06	9.65561262924e-06	0.0123363223093	0.0151603088348	0.123127205908
pat120701_2	pat120701_1	0.00629916498326	0.00261816569502	3.4109092372e-05	9.65927265664e-05	0.0192658034327	0.0283138359299	0.168267156421
pat120701_2	pat120701_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
pat120701_2	pat120701_3	0.00067052052959	9.3058983422e-05	2.72911802807e-06	7.27750539024e-06	0.000337238841993	0.00111082497842	0.0333290410667
pat120701_2	pat120703_0	1.20174765659e-07	0.00561808310149	0.0014424030328	0.00504902048244	0.051002935324	0.0631125621155	0.251222136993
pat120701_2	pat120703_1	0.0122838302659	0.0068674757345	4.23307703629e-05	5.74797026605e-05	0.0352046484972	0.0544557649706	0.233357590343
pat120701_2	pat120703_2	0.00103459084601	0.00927255150683	0.000347166959213	0.00136813301259	0.0016618023165	0.0136842446411	0.116979676188
pat120701_2	pat120703_3	0.000381781632398	0.000934187106167	1.59131731604e-05	1.16603952838e-05	0.00256991947957	0.00391346178658	0.0625576676882
pat120701_2	pat120704_0	0.00233941110334	0.0463173867532	0.00783151196871	0.0293831994421	0.0955543314009	0.181425840668	0.425941123476
pat120701_2	pat120704_1	0.00435684679472	0.0589314977099	0.0033549432079	0.0128517204986	0.00396216073575	0.0834571689469	0.288889544544
pat120701_2	pat120704_2	0.00487936107688	0.0450257426634	0.00095533215749	0.00395925463476	0.053192013664	0.108011704197	0.328651341389
pat120701_2	pat120704_3	0.000135489645533	0.0514815187365	0.0043882918601	0.0165091514458	0.0745647661551	0.147079217843	0.383509084433
pat120701_2	pat120705_0	0.0141492212249	0.127890033873	0.0124389385244	0.0524034943157	0.0326980172707	0.239579705209	0.489468799014
pat120701_2	pat120705_1	1.34955925258e-06	0.257828444342	0.0157378102967	0.0658577961147	0.214096719499	0.553522119812	0.743990671858
pat120701_2	pat120705_2	0.0164710622728	0.221307470852	0.0211922262689	0.0888890648272	0.0669084472996	0.414768271521	0.644025055041
pat120701_2	pat120705_3	0.00486721498694	0.121984061751	0.0215002878753	0.0902776267163	0.221123359899	0.459752551228	0.678050552119
pat120701_2	pat120706_0	0.0122520132438	0.0240694314221	0.0269681457119	0.0425317194779	0.0880326271224	0.193853936978	0.440288470185
pat120701_2	pat120706_1	0.0850583450653	0.00352648902509	0.0284963768385	0.0442448427036	0.00599497299231	0.167321026625	0.409048929377
pat120701_2	pat120706_2	0.0311622491931	0.000226679914383	5.17021207971e-06	0.000146752536469	0.0462962982148	0.0778371500709	0.2789931004
pat120701_2	pat120706_3	0.00504801396555	0.00646706718331	3.40081918316e-06	0.000176631109134	0.00348005705787	0.0151751701351	0.123187540502
