Solar Disk 	 Lin 	 Col 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity	 Class Name 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity 	 SUN 	 Distance (L2) 
ifa120707	150	100	0.633881643997	0.396233564638	0.790817362632	0.561917623678	0.643817312709	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0356604642045	0.188839784485
ifa120707	150	400	0.501340806062	0.390840691532	0.801686650496	0.591311509486	0.792167108555	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.00433991455323	0.0658780278487
ifa120707	250	50	0.662337587133	0.829607437109	0.910057906759	0.810567499645	0.934993232571	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.019850522905	0.140891883744
ifa120707	250	50	0.662337587133	0.829607437109	0.910057906759	0.810567499645	0.934993232571	E	0.746814774415	0.86441091051	0.944613756968	0.879631473011	0.937091843625	0.0143160203008	0.119649572924
ifa120707	250	50	0.662337587133	0.829607437109	0.910057906759	0.810567499645	0.934993232571	G	0.662178215539	0.830003447912	0.906721568792	0.79657013994	1.0	0.00443311926521	0.0665816736438
ifa120707	250	350	0.645198567095	0.494570920134	0.811033124811	0.601750899306	0.709982774477	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0236941714802	0.153929111867
ifa120707	250	400	0.862527655488	0.506538572196	0.866383950776	0.719833019105	0.680745810325	F	0.810455762646	0.632417763891	0.882342852503	0.748861967135	0.65630015772	0.0202520092252	0.14230955423
ifa120707	300	100	0.63516322273	0.382192984921	0.808311296166	0.594223573694	0.683115143296	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0278228323787	0.166801775706
ifa120708	150	400	0.600351457327	0.443441465554	0.824664436161	0.627597017271	0.705798983371	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0167138740215	0.12928214889
ifa120708	250	100	0.778375306233	0.530954069724	0.868088008032	0.709355587664	0.765352659039	F	0.810455762646	0.632417763891	0.882342852503	0.748861967135	0.65630015772	0.0249804395713	0.158052015398
ifa120708	250	400	0.735871059839	0.696473376107	0.893241470751	0.765062810303	0.829339820597	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.00562824254712	0.0750216138664
ifa120708	300	100	0.593198408292	0.402166452973	0.809880301526	0.599270824	0.684696442305	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0187442157232	0.136909516554
ifa120709	150	400	0.620733998586	0.404954823898	0.806057223033	0.5904626857	0.687148461674	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.021597995358	0.146962564478
ifa120709	250	400	0.769953735135	0.638293519444	0.868885169011	0.716118811619	0.75393228973	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.0327605110841	0.180998649399
ifa120709	250	400	0.769953735135	0.638293519444	0.868885169011	0.716118811619	0.75393228973	F	0.810455762646	0.632417763891	0.882342852503	0.748861967135	0.65630015772	0.0124601954148	0.111625245419
ifa120709	300	100	0.642034776963	0.428387342204	0.818894706162	0.612765578073	0.701860176533	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0233919392703	0.152944235819
ifa120710	150	400	0.59859976733	0.370853930852	0.78850999999	0.559299962757	0.656866210432	A	0.531781388809	0.445145644969	0.793197957735	0.571660621076	0.79462519467	0.0291362550547	0.170693453462
ifa120710	250	100	0.671466340567	0.671232038736	0.860766093077	0.698417002619	0.832979691061	B	0.601897618011	0.62087302221	0.865282440326	0.709976723756	0.954205648649	0.0222255950421	0.149082510853
ifa120710	250	100	0.671466340567	0.671232038736	0.860766093077	0.698417002619	0.832979691061	C	0.664021729248	0.609192376263	0.887534086965	0.752904064525	0.997056808502	0.0345110078374	0.185771385949
ifa120710	250	100	0.671466340567	0.671232038736	0.860766093077	0.698417002619	0.832979691061	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.0259216306364	0.161001958486
ifa120710	250	150	0.908554032237	0.865358214	0.955500935849	0.894120406954	0.951728141654	E	0.746814774415	0.86441091051	0.944613756968	0.879631473011	0.937091843625	0.0267031659957	0.163411033886
ifa120710	300	150	0.81159021122	0.471955521621	0.84956059015	0.670198730006	0.709859498819	F	0.810455762646	0.632417763891	0.882342852503	0.748861967135	0.65630015772	0.0358806027875	0.189421759013
ifa120711	250	150	0.704265793724	0.77050255892	0.885778324601	0.750673105396	0.852201095809	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.00567606383495	0.0753396564563
ifa120711	250	150	0.704265793724	0.77050255892	0.885778324601	0.750673105396	0.852201095809	G	0.662178215539	0.830003447912	0.906721568792	0.79657013994	1.0	0.0297013933655	0.172340921912
ifa120711	250	200	0.810445339309	0.640950199395	0.888919604378	0.750162570294	0.774597316288	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.0266173258742	0.163148171532
ifa120711	250	200	0.810445339309	0.640950199395	0.888919604378	0.750162570294	0.774597316288	F	0.810455762646	0.632417763891	0.882342852503	0.748861967135	0.65630015772	0.0141119655234	0.118793794128
ifa120712	250	200	0.766872658809	0.789906945522	0.899050807617	0.777386480168	0.843142975854	D	0.737094452929	0.751594791638	0.910568246082	0.810406876166	0.844573794274	0.00357960786267	0.0598298241905
