0.612	0.396	0.791	0.562	0.542	0.645	0.482	0.809	0.607	0.480
0.650	0.391	0.805	0.587	0.540	0.645	0.482	0.809	0.607	0.480
0.640	0.830	0.910	0.811	0.787	0.712	0.752	0.911	0.810	0.711
0.640	0.830	0.910	0.811	0.787	0.640	0.830	0.907	0.797	0.841
0.640	0.830	0.910	0.811	0.787	0.721	0.864	0.945	0.880	0.788
0.642	0.369	0.792	0.564	0.512	0.645	0.482	0.809	0.607	0.480
0.623	0.495	0.811	0.602	0.597	0.645	0.482	0.809	0.607	0.480
0.396	0.273	0.667	0.393	0.386	0.301	0.335	0.630	0.371	0.452
0.618	0.376	0.790	0.560	0.527	0.645	0.482	0.809	0.607	0.480
0.580	0.443	0.825	0.628	0.594	0.645	0.482	0.809	0.607	0.480
0.628	0.367	0.788	0.555	0.521	0.645	0.482	0.809	0.607	0.480
0.711	0.696	0.893	0.765	0.698	0.712	0.752	0.911	0.810	0.711
0.347	0.231	0.679	0.401	0.494	0.301	0.335	0.630	0.371	0.452
0.600	0.405	0.806	0.590	0.578	0.645	0.482	0.809	0.607	0.480
0.376	0.339	0.687	0.433	0.451	0.301	0.335	0.630	0.371	0.452
0.700	0.491	0.847	0.666	0.671	0.593	0.469	0.837	0.653	0.756
0.744	0.638	0.869	0.716	0.634	0.659	0.637	0.857	0.695	0.593
0.744	0.638	0.869	0.716	0.634	0.783	0.632	0.882	0.749	0.552
0.620	0.428	0.819	0.613	0.591	0.645	0.482	0.809	0.607	0.480
0.649	0.671	0.861	0.698	0.701	0.581	0.621	0.865	0.710	0.803
0.649	0.671	0.861	0.698	0.701	0.659	0.637	0.857	0.695	0.593
0.649	0.671	0.861	0.698	0.701	0.581	0.621	0.865	0.710	0.803
0.649	0.671	0.861	0.698	0.701	0.582	0.608	0.859	0.699	0.800
0.672	0.445	0.824	0.624	0.592	0.645	0.482	0.809	0.607	0.480
0.658	0.412	0.800	0.583	0.463	0.645	0.482	0.809	0.607	0.480
0.639	0.392	0.801	0.582	0.533	0.645	0.482	0.809	0.607	0.480
0.680	0.771	0.886	0.751	0.717	0.712	0.752	0.911	0.810	0.711
0.783	0.641	0.889	0.750	0.652	0.783	0.632	0.882	0.749	0.552
0.636	0.360	0.783	0.549	0.487	0.645	0.482	0.809	0.607	0.480
0.679	0.407	0.814	0.603	0.571	0.645	0.482	0.809	0.607	0.480
0.741	0.790	0.899	0.777	0.709	0.712	0.752	0.911	0.810	0.711
0.757	0.608	0.874	0.719	0.655	0.659	0.637	0.857	0.695	0.593
0.757	0.608	0.874	0.719	0.655	0.783	0.632	0.882	0.749	0.552
0.691	0.442	0.835	0.642	0.578	0.612	0.441	0.804	0.593	0.509
0.691	0.442	0.835	0.642	0.578	0.637	0.446	0.810	0.603	0.509
0.691	0.442	0.835	0.642	0.578	0.645	0.482	0.809	0.607	0.480
0.710	0.406	0.828	0.631	0.563	0.637	0.446	0.810	0.603	0.509
0.710	0.406	0.828	0.631	0.563	0.645	0.482	0.809	0.607	0.480
0.742	0.869	0.920	0.822	0.805	0.640	0.830	0.907	0.797	0.841
0.742	0.869	0.920	0.822	0.805	0.721	0.864	0.945	0.880	0.788
0.771	0.561	0.864	0.699	0.604	0.659	0.637	0.857	0.695	0.593
0.771	0.561	0.864	0.699	0.604	0.783	0.632	0.882	0.749	0.552
0.685	0.429	0.827	0.627	0.584	0.645	0.482	0.809	0.607	0.480
0.655	0.395	0.821	0.617	0.579	0.645	0.482	0.809	0.607	0.480
0.795	0.884	0.936	0.854	0.810	0.721	0.864	0.945	0.880	0.788
0.818	0.525	0.856	0.685	0.573	0.783	0.632	0.882	0.749	0.552
0.705	0.417	0.822	0.617	0.561	0.645	0.482	0.809	0.607	0.480
0.640	0.410	0.831	0.636	0.643	0.593	0.469	0.837	0.653	0.756

