Solar Disk 	 Lin 	 Col 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity	 Class Name 	 Contrast	 Correlation 	 Energy	 Entropy	 Homogeneity 	 SUN 	 Distance (L2) 
ifa120707	150	100	0.612284463018	0.396233564638	0.790817362632	0.561917623678	0.541680431573	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0150014574645	0.122480437069
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0120266693356	0.109666172248
ifa120707	150	350	0.650223354055	0.391373191678	0.80486350981	0.586550788509	0.540472538733	O	0.717526335562	0.476609907716	0.826581338995	0.635232875554	0.538323702908	0.0146412162797	0.121000893715
ifa120707	250	50	0.63977087476	0.829607437109	0.910057906759	0.810567499645	0.78666343346	E	0.711980675855	0.751594791638	0.910568246082	0.810406876166	0.71058837398	0.0170879291487	0.130720806105
ifa120707	250	50	0.63977087476	0.829607437109	0.910057906759	0.810567499645	0.78666343346	G	0.721369813208	0.86441091051	0.944613756968	0.879631473011	0.788429115307	0.0138367253497	0.117629610854
ifa120707	250	50	0.63977087476	0.829607437109	0.910057906759	0.810567499645	0.78666343346	M	0.639616933165	0.830003447912	0.906721568792	0.79657013994	0.841357355387	0.00319866284802	0.0565567223946
ifa120707	250	100	0.64216922506	0.368767924232	0.791894990427	0.56415123579	0.511782985417	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0143381565225	0.119742041583
ifa120707	250	350	0.623215803667	0.494570920134	0.811033124811	0.601750899306	0.597349229504	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0182507207686	0.135095228519
ifa120707	250	350	0.623215803667	0.494570920134	0.811033124811	0.601750899306	0.597349229504	O	0.717526335562	0.476609907716	0.826581338995	0.635232875554	0.538323702908	0.0140638768811	0.118591217555
ifa120708	150	50	0.396219716403	0.273034893667	0.6670694299	0.393091700571	0.386217640815	J	0.301382538263	0.33459338163	0.63022955779	0.371144200078	0.452335232192	0.0189939426423	0.137818513424
ifa120708	150	350	0.618108382532	0.37622516109	0.789820189981	0.559647643013	0.526882784738	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0162559883034	0.127498973735
ifa120708	200	400	0.628033134391	0.366948029652	0.787518121806	0.555397039373	0.520742417103	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0170710929134	0.130656392547
ifa120708	250	100	0.751855036215	0.530954069724	0.868088008032	0.709355587664	0.643935089147	P	0.698101758644	0.459536698365	0.850305115704	0.677987412448	0.671372090036	0.0100428384751	0.100213963474
ifa120708	250	400	0.710798965376	0.696473376107	0.893241470751	0.765062810303	0.697771158175	E	0.711980675855	0.751594791638	0.910568246082	0.810406876166	0.71058837398	0.00556034936312	0.0745677501546
ifa120709	50	100	0.40871520915	0.215041860623	0.611762474937	0.328263129129	0.308878541965	I	0.482341364162	0.238834369632	0.634818447598	0.375256582987	0.233059515731	0.0144753815067	0.120313679633
ifa120709	50	350	0.346678590099	0.231081176228	0.678599615204	0.401284165221	0.493830138351	J	0.301382538263	0.33459338163	0.63022955779	0.371144200078	0.452335232192	0.0177364161692	0.133178136979
ifa120709	150	200	0.6425183185	0.363077769068	0.778454565757	0.541187333122	0.496875534157	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0169131253685	0.130050472389
ifa120709	250	50	0.375611704101	0.339025494721	0.68717820302	0.433055110513	0.450525201278	J	0.301382538263	0.33459338163	0.63022955779	0.371144200078	0.452335232192	0.0126089979238	0.112289794388
ifa120709	250	150	0.700056389421	0.490674320382	0.846754765685	0.666072169138	0.670712266817	O	0.717526335562	0.476609907716	0.826581338995	0.635232875554	0.538323702908	0.0193877677489	0.139239964625
ifa120709	250	150	0.700056389421	0.490674320382	0.846754765685	0.666072169138	0.670712266817	P	0.698101758644	0.459536698365	0.850305115704	0.677987412448	0.671372090036	0.00112838546143	0.0335914492308
ifa120709	250	400	0.743720399116	0.638293519444	0.868885169011	0.716118811619	0.634326477428	B	0.659036591602	0.636735735938	0.856960128317	0.694854209981	0.592708139843	0.00950024984625	0.0974692251239
ifa120709	250	400	0.743720399116	0.638293519444	0.868885169011	0.716118811619	0.634326477428	L	0.782842469301	0.632417763891	0.882342852503	0.748861967135	0.552182965039	0.00956584098462	0.0978051173744
ifa120709	300	100	0.620159808024	0.428387342204	0.818894706162	0.612765578073	0.590515221979	K	0.664079553756	0.47439570806	0.800882387742	0.59477904465	0.470770434698	0.0190324868743	0.13795827947
ifa120709	300	100	0.620159808024	0.428387342204	0.818894706162	0.612765578073	0.590515221979	O	0.717526335562	0.476609907716	0.826581338995	0.635232875554	0.538323702908	0.0150934749527	0.122855504365
ifa120709	300	100	0.620159808024	0.428387342204	0.818894706162	0.612765578073	0.590515221979	P	0.698101758644	0.459536698365	0.850305115704	0.677987412448	0.671372090036	0.0188235646744	0.137198996623
ifa120709	350	300	0.513197223182	0.177763524301	0.678300156291	0.392590623718	0.343313323694	I	0.482341364162	0.238834369632	0.634818447598	0.375256582987	0.233059515731	0.0190287623145	0.137944779947
ifa120710	250	100	0.648588599562	0.671232038736	0.860766093077	0.698417002619	0.700833589962	B	0.659036591602	0.636735735938	0.856960128317	0.694854209981	0.592708139843	0.0130174472669	0.114094028183
